username,price,avg_likes,avg_comments,followers
_soqout,363000,7911.2,70.7,481968
clipmoviz,82500,186.0,0.0,497911
majale_trip,66000,746.5,8.7,489749
Tasvireroyaa,429000,16466.3,478.1,488419
decor_graphy,31900,94.8,0.8,494645
ghodrate_talghin,209000,3824.0,58.6,486029
ashpazi_farsi,41800,897.1,12.4,488042
sher_e_naaab,220000,7001.3,107.3,495160
Py_party,182600,17262.6,404.7,570261
kadbano.bash,165000,2803.0,34.6,481069
Cinema.bartar,55000,196.9,10.7,466978
desser.doon,176000,1993.5,18.4,480691
bebinobesaz,143000,2011.8,36.0,473233
kadoidea,110000,3180.2,191.6,576037
khayati.neda,220000,7698.4,86.9,482396
Eshghe_minions,165000,5147.1,29.6,453276
picoovid,275000,5069.0,194.3,471736
_uniquk_,99000,5086.3,47.5,450433
shakouri_m,4400000,10179.6,564.6,485599
Funny_kilip,154000,3350.0,46.1,470548
Khatoone.khone,187000,6071.4,64.3,466154
Madarane20,330000,3143.8,109.5,466226
toopcliip,209000,5120.1,51.6,469797
Deep_mach,165000,2546.2,44.1,466574
Khoshmaze_tarina,60500,2151.5,24.0,459963
hayatvhsh,429000,12402.8,96.8,458854
aroose_najib,33000,36.2,1.0,458970
daneshkade_khayati,110000,1148.8,24.8,459011
muzic.nex1,275000,3118.0,75.2,458673
Tonele__zaman,220000,3470.1,62.4,456578
janjale_rooz,33000,1194.5,29.5,455968
Topteory,275000,11660.4,240.4,462962
saadigram,440000,7697.5,127.5,455345
Englishpersian,880000,1704.8,36.5,437843
persian.drift,209000,4173.4,113.9,452281
time_healthy,308000,5610.3,51.0,443106
chizhaye_kouchak,363000,17101.4,390.4,443734
sazaavaz,165000,1974.9,49.3,560488
paitakht_6,158400,6348.1,46.1,681427
Love.gune,159500,2907.5,105.4,445898
rangindeser2,60500,388.9,4.5,434778
sokhanan.arzeshmand,110000,614.2,4.4,436096
English_code,242000,5070.6,123.6,560479
fctaj,154000,4242.9,195.9,453580
Man_mitunm,412500,6629.7,142.3,440788
ashpazi.maral,275000,5286.5,351.9,434963
Fariba.music,146300,7730.4,146.6,801806
iran_beautiful_ir,495000,16703.4,358.8,469333
textvision,220000,3561.9,67.8,430778
Park.kon,548900,3214.7,72.4,571561
Donyay_ashpaziii,176000,2587.8,26.7,436863
cinema_Radical,99000,2407.8,70.7,403281
Pooshake.irooni,132000,796.0,9.3,432619
majaleh_lorazpam,165000,594.1,47.9,424463
mostafakhedmatii,132000,957.7,7.8,428474
Iranian_bodybuilderss,220000,4005.8,56.3,411390
paaytakhte5,209000,1271.1,19.9,430383
Model_bala,330000,6705.0,98.5,451048
Aroose_lavand,71500,314.7,11.0,429761
filimuo,132000,958.4,5.9,427826
sudabe.turkish.life,1650000,10124.1,262.5,423492
_zohreh_ghasemi,1980000,28816.9,3393.3,416052
galaxius__,495000,5874.6,135.2,426922
Nabzezendegi.ir,253000,5281.0,178.1,419008
Kirilan_qalblar,242000,18338.8,181.1,454596
darman_pezeshki,71500,2667.0,70.8,423172
Khargowsht,495000,10094.0,160.1,422878
Matne.Nik1,418000,17812.8,154.5,438176
armiamardanian,275000,7390.9,720.8,421449
ABBASAHMDII,22000000,87964.2,2520.7,882358
tap_fact,44000,1464.5,112.3,425302
Dorhami_video_fans,171600,7820.0,69.6,510605
Clipkadeh.irani,203500,7813.9,83.3,445770
Khoytoday,110000,1902.0,27.6,422548
_fitnessOnline,605000,7984.6,81.0,438611
Voroujakeman,44000,2371.1,31.6,501584
tarfandhaye_ashpazi_,183700,1591.5,33.2,410573
Sooti.show,330000,5104.8,79.4,412743
funybash,88000,3356.9,38.0,501754
torsho_shirin_,198000,1852.6,23.6,411641
nimkhati,605000,5299.3,209.1,408071
bodocomedy,220000,4407.4,33.1,404368
tractorfc1,170500,1233.1,37.8,404634
Turk_clib,330000,3277.7,142.2,410778
Dialog.bazi,396000,17182.3,156.2,407992
skizoferny,231000,8283.3,209.5,403488
Irani.actor,82500,5231.1,457.8,415113
naturefarsi,110000,2407.0,41.8,395983
ashpazi_saeedeh,165000,3361.8,53.5,403952
baroone_eshgh_,198000,7385.0,110.6,407625
mahsan.sd,38500,1206.8,136.7,408086
musicstar.2,176000,7176.1,48.0,675007
younestorabi_ir,1650000,20430.9,251.8,405920
bino.clip,308000,3910.0,160.0,396830
Enerji_mosbat_bomb_1,110000,6044.1,196.4,398277
iranimashin,385000,44.2,2.6,448729
Matne_ehsasi1,495000,25640.1,254.7,414683
Energy_novin,286000,1648.1,28.8,396181
Pezeshkyar_javan,71500,2669.2,75.4,396870
playpico,77000,549.5,7.8,400352
khodaorginall,352000,7971.5,177.9,405171
Pezeshkanbartar,275000,886.7,12.0,397744
aroose_pardis,132000,504.2,10.8,392831
khatami.76,770000,3429.8,277.5,403738
PerspolisTehran,137500,1809.2,77.1,397137
